informal_text,formal_date
1 1 1370,1370/01/01
1 1 ۱۳۷۰,1370/01/01
1 1 یک هزار و سیصد و هفتاد,1370/01/01
1 1 سال 1370,1370/01/01
1 1 سال ۱۳۷۰,1370/01/01
1 1 سال یک هزار و سیصد و هفتاد,1370/01/01
1 ۱ 1370,1370/01/01
1 ۱ ۱۳۷۰,1370/01/01
1 ۱ یک هزار و سیصد و هفتاد,1370/01/01
1 ۱ سال 1370,1370/01/01
1 ۱ سال ۱۳۷۰,1370/01/01
1 ۱ سال یک هزار و سیصد و هفتاد,1370/01/01
1 یک 1370,1370/01/01
1 یک ۱۳۷۰,1370/01/01
1 یک یک هزار و سیصد و هفتاد,1370/01/01
1 یک سال 1370,1370/01/01
1 یک سال ۱۳۷۰,1370/01/01
1 یک سال یک هزار و سیصد و هفتاد,1370/01/01
1 یکم 1370,1370/01/01
1 یکم ۱۳۷۰,1370/01/01
1 یکم یک هزار و سیصد و هفتاد,1370/01/01
1 یکم سال 1370,1370/01/01
1 یکم سال ۱۳۷۰,1370/01/01
1 یکم سال یک هزار و سیصد و هفتاد,1370/01/01
1 فروردین 1370,1370/01/01
1 فروردین ۱۳۷۰,1370/01/01
1 فروردین یک هزار و سیصد و هفتاد,1370/01/01
1 فروردین سال 1370,1370/01/01
1 فروردین سال ۱۳۷۰,1370/01/01
1 فروردین سال یک هزار و سیصد و هفتاد,1370/01/01
1 ماه 1 1370,1370/01/01
1 ماه 1 ۱۳۷۰,1370/01/01
1 ماه 1 یک هزار و سیصد و هفتاد,1370/01/01
1 ماه 1 سال 1370,1370/01/01
1 ماه 1 سال ۱۳۷۰,1370/01/01
1 ماه 1 سال یک هزار و سیصد و هفتاد,1370/01/01
1 ماه ۱ 1370,1370/01/01
1 ماه ۱ ۱۳۷۰,1370/01/01
1 ماه ۱ یک هزار و سیصد و هفتاد,1370/01/01
1 ماه ۱ سال 1370,1370/01/01
1 ماه ۱ سال ۱۳۷۰,1370/01/01
1 ماه ۱ سال یک هزار و سیصد و هفتاد,1370/01/01
1 ماه یک 1370,1370/01/01
1 ماه یک ۱۳۷۰,1370/01/01
